RK,PLAYER,TEAM,GP,MPG,FG%,FT%,3PM,RPG,APG,STPG,BLKPG,TOPG,PTS
1,"Nikola Jokic, C",DEN,74,33.5,0.583,0.81,1.3,13.8,7.9,1.5,0.9,3.8,27.1
2,"Giannis Antetokounmpo, PF",MIL,67,32.9,0.553,0.722,1.1,11.6,5.8,1.1,1.4,3.3,29.9
3,"Joel Embiid, C",PHI,68,33.8,0.499,0.814,1.4,11.7,4.2,1.1,1.5,3.1,30.6
4,"LeBron James, SF",LAL,56,37.2,0.524,0.756,2.9,8.2,6.2,1.3,1.1,3.5,30.3
5,"Kevin Durant, PF",PHO,55,37.2,0.518,0.91,2.1,7.4,6.4,0.9,0.9,3.5,29.9
6,"Luka Doncic, PG",DAL,65,35.4,0.457,0.744,3.1,9.1,8.7,1.2,0.6,4.5,28.4
7,"Trae Young, PG",ATL,76,34.9,0.46,0.904,3.1,3.7,9.7,0.9,0.1,4,28.4
8,"Ja Morant, PG",MEM,57,33.1,0.493,0.761,1.5,5.7,6.7,1.2,0.4,3.4,27.4
9,"Dejounte Murray, SG",ATL,68,34.8,0.462,0.794,1.4,8.3,9.2,2,0.3,2.6,21.1
10,"James Harden, SG",PHI,65,37.2,0.41,0.877,2.3,7.7,10.3,1.3,0.6,4.4,22
