RK,PLAYER,TEAM,GP,MPG,FG%,FT%,3PM,RPG,APG,STPG,BLKPG,TOPG,PTS
1,"James Harden, SG",PHI,68,36.5,0.444,0.865,4.4,6.6,7.5,1.8,0.9,4.5,34.3
2,"Giannis Antetokounmpo, PF",MIL,63,30.4,0.553,0.633,1.4,13.6,5.6,1,1,3.7,29.5
3,"Luka Doncic, PG",DAL,61,33.6,0.463,0.758,2.8,9.4,8.8,1,0.2,4.3,28.8
4,"LeBron James, SF",LAL,67,34.6,0.493,0.693,2.2,7.8,10.2,1.2,0.5,3.9,25.3
5,"Damian Lillard, PG",POR,66,37.5,0.463,0.888,4.1,4.3,8,1.1,0.3,2.9,30
6,"Karl-Anthony Towns, C",MIN,35,33.9,0.508,0.796,3.3,10.8,4.4,0.9,1.2,3.1,26.5
7,"Trae Young, PG",ATL,60,35.3,0.437,0.86,3.4,4.3,9.3,1.1,0.1,4.8,29.6
8,"Anthony Davis, PF",LAL,62,34.4,0.503,0.846,1.2,9.3,3.2,1.5,2.3,2.5,26.1
9,"Russell Westbrook, PG",LAC,57,35.9,0.472,0.763,1,7.9,7,1.6,0.4,4.5,27.2
10,"Bradley Beal, SG",PHO,57,36,0.455,0.842,3,4.2,6.1,1.2,0.4,3.4,30.5
