RK,PLAYER,TEAM,GP,MPG,FG%,FT%,3PM,RPG,APG,STPG,BLKPG,TOPG,PTS
1,"Nikola Jokic, C",DEN,72,34.6,0.566,0.868,1.3,10.8,8.3,1.3,0.7,3.1,26.4
2,"Giannis Antetokounmpo, PF",MIL,61,33,0.569,0.685,1.1,11,5.9,1.2,1.2,3.4,28.1
3,"James Harden, SG",PHI,44,36.6,0.466,0.861,2.8,7.9,10.8,1.2,0.8,4,24.6
4,"Stephen Curry, PG",GSW,63,34.2,0.482,0.916,5.3,5.5,5.8,1.2,0.1,3.4,32
5,"Luka Doncic, PG",DAL,66,34.3,0.479,0.73,2.9,8,8.6,1,0.5,4.3,27.7
6,"Russell Westbrook, PG",LAC,65,36.4,0.439,0.656,1.3,11.5,11.7,1.4,0.4,4.8,22.2
7,"Joel Embiid, C",PHI,51,31.1,0.513,0.859,1.1,10.6,2.8,1,1.4,3.1,28.5
8,"Kevin Durant, PF",PHO,35,33.1,0.537,0.882,2.4,7.1,5.6,0.7,1.3,3.4,26.9
9,"Damian Lillard, PG",POR,67,35.8,0.451,0.928,4.1,4.2,7.5,0.9,0.3,3,28.8
10,"LeBron James, SF",LAL,45,33.4,0.513,0.698,2.3,7.7,7.8,1.1,0.6,3.7,25
