RK,PLAYER,TEAM,GP,MPG,FG%,FT%,3PM,RPG,APG,STPG,BLKPG,TOPG,PTS
1,"Russell Westbrook, PG",LAC,81,34.6,0.425,0.845,2.5,10.7,10.4,1.6,0.4,5.4,31.6
2,"James Harden, SG",PHI,81,36.4,0.44,0.847,3.2,8.1,11.2,1.5,0.5,5.7,29.1
3,"LeBron James, SF",LAL,74,37.8,0.548,0.674,1.7,8.6,8.7,1.2,0.6,4.1,26.4
4,"Anthony Davis, PF",LAL,75,36.1,0.505,0.802,0.5,11.8,2.1,1.3,2.2,2.4,28
5,"Kevin Durant, PF",PHO,62,33.4,0.537,0.875,1.9,8.3,4.8,1.1,1.6,2.2,25.1
,"DeMarcus Cousins, C",DEN,72,34.2,0.452,0.772,1.8,11,4.6,1.4,1.3,3.7,27
7,"Karl-Anthony Towns, C",MIN,82,37,0.542,0.832,1.2,12.3,2.7,0.7,1.3,2.6,25.1
8,"Giannis Antetokounmpo, PF",MIL,80,35.6,0.521,0.77,0.6,8.8,5.4,1.6,1.9,2.9,22.9
9,"John Wall, PG",HOU,78,36.4,0.451,0.801,1.1,4.2,10.7,2,0.6,4.1,23.1
10,"Isaiah Thomas, G",CHA,76,33.8,0.463,0.909,3.2,2.7,5.9,0.9,0.2,2.8,28.9
