RK,PLAYER,TEAM,GP,MPG,FG%,FT%,3PM,RPG,APG,STPG,BLKPG,TOPG,PTS
1,"Stephen Curry, PG",GSW,79,34.2,0.504,0.908,5.1,5.4,6.7,2.1,0.2,3.3,30.1
2,"Kevin Durant, PF",PHO,72,35.8,0.505,0.898,2.6,8.2,5,1,1.2,3.5,28.2
3,"James Harden, SG",PHI,82,38.1,0.439,0.86,2.9,6.1,7.5,1.7,0.6,4.6,29
4,"Russell Westbrook, PG",LAC,80,34.4,0.454,0.812,1.3,7.8,10.4,2,0.3,4.3,23.5
5,"LeBron James, SF",LAL,76,35.6,0.52,0.731,1.1,7.4,6.8,1.4,0.6,3.3,25.3
6,"DeMarcus Cousins, C",DEN,65,34.6,0.451,0.718,1.1,11.5,3.3,1.6,1.4,3.8,26.9
7,"Anthony Davis, PF",LAL,61,35.5,0.493,0.758,0.6,10.3,1.9,1.3,2,2,24.3
8,"Chris Paul, PG",GSW,74,32.7,0.462,0.896,1.6,4.2,10,2.1,0.2,2.6,19.5
9,"John Wall, PG",HOU,77,36.2,0.424,0.791,1.5,4.9,10.2,1.9,0.8,4.1,19.9
10,"Damian Lillard, PG",POR,75,35.7,0.419,0.892,3.1,4,6.8,0.9,0.4,3.2,25.1
