RK,PLAYER,TEAM,GP,MPG,FG%,FT%,3PM,RPG,APG,STPG,BLKPG,TOPG,PTS
1,"Nikola Jokic, C",DEN,69,33.7,0.632,0.822,0.8,11.8,9.8,1.3,0.7,3.6,24.5
2,"Joel Embiid, C",PHI,66,34.6,0.548,0.857,1,10.2,4.2,1,1.7,3.4,33.1
3,"Luka Doncic, PG",DAL,66,36.2,0.496,0.742,2.8,8.6,8,1.4,0.5,3.6,32.4
4,"Giannis Antetokounmpo, PF",MIL,63,32.1,0.553,0.645,0.7,11.8,5.7,0.8,0.8,3.9,31.1
5,"Damian Lillard, PG",POR,58,36.3,0.463,0.914,4.2,4.8,7.3,0.9,0.3,3.3,32.2
6,"LeBron James, SF",LAL,55,35.5,0.5,0.768,2.2,8.3,6.8,0.9,0.6,3.2,28.9
7,"Shai Gilgeous-Alexander, PG",OKC,68,35.5,0.51,0.905,0.9,4.8,5.5,1.6,1,2.8,31.4
8,"Kevin Durant, PF",PHO,47,35.6,0.56,0.919,2,6.7,5,0.7,1.4,3.3,29.1
9,"Jayson Tatum, SF",BOS,74,36.9,0.466,0.854,3.2,8.8,4.6,1.1,0.7,2.9,30.1
10,"Anthony Davis, PF",LAL,56,34,0.563,0.784,0.3,12.5,2.6,1.1,2,2.2,25.9
