RK,PLAYER,TEAM,GP,MPG,FG%,FT%,3PM,RPG,APG,STPG,BLKPG,TOPG,PTS
1,"Kevin Durant, PF",PHO,81,38.5,0.503,0.873,2.4,7.4,5.5,1.3,0.7,3.5,32
2,"LeBron James, SF",LAL,77,37.7,0.567,0.75,1.5,6.9,6.4,1.6,0.3,3.5,27.1
3,"Kevin Love, PF",MIA,77,36.3,0.457,0.821,2.5,12.5,4.4,0.8,0.5,2.5,26.1
4,"Stephen Curry, PG",GSW,78,36.5,0.471,0.885,3.3,4.3,8.5,1.6,0.2,3.8,24
5,"Carmelo Anthony, PF",LAL,77,38.7,0.452,0.848,2.2,8.1,3.1,1.2,0.7,2.6,27.4
6,"Blake Griffin, PF",BOS,80,35.8,0.528,0.715,0.2,9.5,3.9,1.2,0.6,2.8,24.1
7,"Chris Paul, PG",GSW,62,35,0.467,0.855,1.3,4.3,10.7,2.5,0.1,2.3,19.1
8,"James Harden, SG",PHI,73,38,0.456,0.866,2.4,4.7,6.1,1.6,0.4,3.6,25.4
9,"DeMarcus Cousins, C",DEN,71,32.4,0.496,0.726,0,11.7,2.9,1.5,1.3,3.5,22.7
10,"LaMarcus Aldridge, C",BKN,69,36.2,0.458,0.822,0,11.1,2.6,0.9,1,1.8,23.2
