RK,PLAYER,TEAM,GP,MPG,FG%,FT%,3PM,RPG,APG,STPG,BLKPG,TOPG,PTS
1,"James Harden, SG",PHI,78,36.8,0.442,0.879,4.8,6.6,7.5,2,0.7,5,36.1
2,"Giannis Antetokounmpo, PF",MIL,72,32.8,0.578,0.729,0.7,12.5,5.9,1.3,1.5,3.7,27.7
3,"Anthony Davis, PF",LAL,56,33,0.517,0.794,0.9,12,3.9,1.6,2.4,2,25.9
4,"LeBron James, SF",LAL,55,35.2,0.51,0.665,2,8.5,8.3,1.3,0.6,3.6,27.4
,"Joel Embiid, C",PHI,64,33.7,0.484,0.804,1.2,13.6,3.7,0.7,1.9,3.5,27.5
6,"Russell Westbrook, PG",LAC,73,36,0.428,0.656,1.6,11.1,10.7,1.9,0.5,4.5,22.9
7,"Karl-Anthony Towns, C",MIN,77,33.1,0.518,0.836,1.8,12.4,3.4,0.9,1.6,3.1,24.4
8,"Paul George, F",LAC,77,36.9,0.438,0.839,3.8,8.2,4.1,2.2,0.4,2.7,28
9,"Kevin Durant, PF",PHO,78,34.6,0.521,0.885,1.8,6.4,5.9,0.7,1.1,2.9,26
10,"Stephen Curry, PG",GSW,69,33.8,0.472,0.916,5.1,5.3,5.2,1.3,0.4,2.8,27.3
