RK,PLAYER,TEAM,GP,MPG,FG%,FT%,3PM,RPG,APG,STPG,BLKPG,TOPG,PTS
1,"LeBron James, SF",LAL,82,36.9,0.542,0.731,1.8,8.6,9.1,1.4,0.9,4.2,27.5
2,"James Harden, SG",PHI,72,35.4,0.449,0.858,3.7,5.4,8.8,1.8,0.7,4.4,30.4
3,"Anthony Davis, PF",LAL,75,36.4,0.534,0.828,0.7,11.1,2.3,1.5,2.6,2.2,28.1
4,"Russell Westbrook, PG",LAC,80,36.4,0.449,0.737,1.2,10.1,10.3,1.8,0.3,4.8,25.4
5,"Giannis Antetokounmpo, PF",MIL,75,36.7,0.529,0.76,0.6,10,4.8,1.5,1.4,3,26.9
6,"DeMarcus Cousins, C",DEN,48,36.2,0.47,0.746,2.2,12.9,5.4,1.6,1.6,5,25.2
7,"Kevin Durant, PF",PHO,68,34.2,0.516,0.889,2.5,6.8,5.4,0.7,1.8,3,26.4
8,"Stephen Curry, PG",GSW,51,32,0.495,0.921,4.2,5.1,6.1,1.6,0.2,3,26.4
9,"Damian Lillard, PG",POR,73,36.6,0.439,0.916,3.1,4.5,6.6,1.1,0.4,2.8,26.9
10,"Karl-Anthony Towns, C",MIN,82,35.6,0.545,0.858,1.5,12.3,2.4,0.8,1.4,1.9,21.3
